record - recordId,record - aatNedId,record - subjectId,record - status,record - pt,record - bt,record - uf,record - eq
300036852,800011283,300036852,voorkeursterm,vizieren,kledingonderdelen,vizier,vizier
300036853,800011284,300036853,voorkeursterm,blaasbalgvizieren,vizieren,blaasbalgvizier,blaasbalgvizier
300036854,800011285,300036854,voorkeursterm,puntvizieren,vizieren,puntvizier,puntvizier
300036863,800011286,300036863,voorkeursterm,lanssteunen,borststukonderdelen,lanssteun,lanssteun
300036866,800011287,300036866,voorkeursterm,schouderstukken,persoonlijke wapenrusting: armen,schouderstuk,schouderstuk
300036868,800011288,300036868,voorkeursterm,ijzeren schoenen,persoonlijke wapenrusting: benen,ijzeren schoen,ijzeren schoen
300036869,800011289,300036869,voorkeursterm,schilden,harnassen naar vorm,schild,schild
300036874,800011290,300036874,voorkeursterm,beukelaars,schilden,beukelaar,beukelaar
300036876,800011291,300036876,voorkeursterm,pavesen,schilden,,
300036879,800011292,300036879,voorkeursterm,rondschilden,schilden,rondschild,rondschild
300036881,800011293,300036881,voorkeursterm,ijzeren handbeschermers,stokwapenonderdelen,ijzeren handbeschermer,ijzeren handbeschermer
300036893,800011294,300036893,voorkeursterm,liesbeschermers,persoonlijke wapenrusting: benen,liesbeschermer,liesbeschermer
300036900,800011295,300036900,voorkeursterm,paardenharnasstukken,dierenuitrusting,,
300036905,800011296,300036905,voorkeursterm,shaffrons,paardenharnasstukken,shaffron,shaffron
300036909,800011297,300036909,voorkeursterm,halve paardenhoofdbeschermers,shaffrons,halve paardenhoofdbeschermer,halve paardenhoofdbeschermer
300036921,800011298,300036921,voorkeursterm,halsbeschermers,paardenharnasstukken,halsbeschermer,halsbeschermer
300036922,800011299,300036922,voorkeursterm,staartriemen,dierenuitrusting,staartriem,staartriem
300036923,800011300,300036923,voorkeursterm,sporen,been- of voetaccessoires,spoor,spoor
300036924,800011301,300036924,voorkeursterm,sporen met wiel,sporen,spoor met wiel,spoor met wiel
300036925,800011302,300036925,voorkeursterm,staartbeschermers,paardenharnasstukken,staartbeschermer,staartbeschermer
300036926,800011303,300036926,voorkeursterm,wapens,Wapens en Munitie {TOPTERM},wapen,wapen
300036928,800011304,300036928,voorkeursterm,munitie,Wapens en Munitie {TOPTERM},,
300036930,800011305,300036930,voorkeursterm,pijlkokers,houders naar vorm,pijlkoker,pijlkoker
300036931,800011306,300036931,voorkeursterm,geschut,vuurwapens,,
