ODIS_ID,ODIS URI,RECORD_OMSCHRIJVING,Soort_N,Waarde_N
11,http://www.odis.be/lnk/PS_11,Charles Diercxsens (1780-1844),F1N1,"Diercxsens, Charles"
11,http://www.odis.be/lnk/PS_11,Charles Diercxsens (1780-1844),F1N2,"Diercxsens, Karel"
11,http://www.odis.be/lnk/PS_11,Charles Diercxsens (1780-1844),F1N5,"Diercxsens, Carolus"
12,http://www.odis.be/lnk/PS_12,Frans Verdussen (1783-1850),F1N1,"Verdussen, François"
12,http://www.odis.be/lnk/PS_12,Frans Verdussen (1783-1850),F1N2,"Verdussen, Frans"
12,http://www.odis.be/lnk/PS_12,Frans Verdussen (1783-1850),F1N5,"Verdussen, Franciscus"
13,http://www.odis.be/lnk/PS_13,Xavier Gheysens (1799-1883),F1N1,"Gheijsens, Xavier"
13,http://www.odis.be/lnk/PS_13,Xavier Gheysens (1799-1883),F1N5,"Gheijsens, Xavier"
13,http://www.odis.be/lnk/PS_13,Xavier Gheysens (1799-1883),F2N1,"Gheysens, Xavier"
13,http://www.odis.be/lnk/PS_13,Xavier Gheysens (1799-1883),F2N5,"Gheysens, Xavier"
14,http://www.odis.be/lnk/PS_14,Ferdinand Van der Taelen (1836-1889),F1N1,"Vandertaelen, Nant"
14,http://www.odis.be/lnk/PS_14,Ferdinand Van der Taelen (1836-1889),F1N5,"Vandertaelen, Ferdinand"
14,http://www.odis.be/lnk/PS_14,Ferdinand Van der Taelen (1836-1889),F4N1,"Van der Taelen, Nant"
14,http://www.odis.be/lnk/PS_14,Ferdinand Van der Taelen (1836-1889),F4N5,"Van der Taelen, Ferdinand"
15,http://www.odis.be/lnk/PS_15,Robrecht Aerts,F1N1,"Aerts, Robrecht"
16,http://www.odis.be/lnk/PS_16,Alexander Baguet (1817-1897),F1N1,"Baguet, Alexandre"
16,http://www.odis.be/lnk/PS_16,Alexander Baguet (1817-1897),F1N5,"Baguet, Alexander"
17,http://www.odis.be/lnk/PS_17,Louis De Vinck-du Bois (1784-1858),F1N1,"De Vinck, Lodewijk"
17,http://www.odis.be/lnk/PS_17,Louis De Vinck-du Bois (1784-1858),F1N2,"De Vinck, Louis"
17,http://www.odis.be/lnk/PS_17,Louis De Vinck-du Bois (1784-1858),F1N5,"De Vinck, Ludovicus"
17,http://www.odis.be/lnk/PS_17,Louis De Vinck-du Bois (1784-1858),F4N1,"De Vinck-du Bois, Lodewijk"
17,http://www.odis.be/lnk/PS_17,Louis De Vinck-du Bois (1784-1858),F4N2,"De Vinck-du Bois, Louis"
17,http://www.odis.be/lnk/PS_17,Louis De Vinck-du Bois (1784-1858),F4N5,"De Vinck-du Bois, Ludovicus"
18,http://www.odis.be/lnk/PS_18,Joseph Van Sulper (1808-1887),F1N5,"Van Sulper, Pierre"
19,http://www.odis.be/lnk/PS_19,Karel Blondel (1806-1877),F1N1,"Blondel, Charles"
19,http://www.odis.be/lnk/PS_19,Karel Blondel (1806-1877),F1N2,"Blondel, Karel"
19,http://www.odis.be/lnk/PS_19,Karel Blondel (1806-1877),F1N5,"Blondel, Carolus"
20,http://www.odis.be/lnk/PS_20,Joseph Lefebvre (1818-1891),F1N1,"Lefebvre, Joseph"
20,http://www.odis.be/lnk/PS_20,Joseph Lefebvre (1818-1891),F1N2,"Lefebvre, Jozef"
20,http://www.odis.be/lnk/PS_20,Joseph Lefebvre (1818-1891),F1N5,"Lefebvre, Joseph"
20,http://www.odis.be/lnk/PS_20,Joseph Lefebvre (1818-1891),F2N1,"Van den Bosch, Joseph"
20,http://www.odis.be/lnk/PS_20,Joseph Lefebvre (1818-1891),F2N2,"Van den Bosch, Jozef"
20,http://www.odis.be/lnk/PS_20,Joseph Lefebvre (1818-1891),F2N5,"Van den Bosch, Joseph"
21,http://www.odis.be/lnk/PS_21,Edmond Batkin (1836-1917),F1N5,"Batkin, Edmond"
22,http://www.odis.be/lnk/PS_22,Gustave Buysschaert (1847-1904),F1N1,"Buysschaert, Gustaaf"
22,http://www.odis.be/lnk/PS_22,Gustave Buysschaert (1847-1904),F1N5,"Buysschaert, Gustave"
23,http://www.odis.be/lnk/PS_23,Henri Pelgrims (1789-1847),F1N1,"Pelgrims, Hendrik"
23,http://www.odis.be/lnk/PS_23,Henri Pelgrims (1789-1847),F1N2,"Pelgrims, Henri"
23,http://www.odis.be/lnk/PS_23,Henri Pelgrims (1789-1847),F1N5,"Pelgrims, Henricus"
24,http://www.odis.be/lnk/PS_24,François Vermeulen-Ogez (1796-1852),F1N5,"Vermeulen, François"
24,http://www.odis.be/lnk/PS_24,François Vermeulen-Ogez (1796-1852),F4N5,"Vermeulen-Ogez, François"
25,http://www.odis.be/lnk/PS_25,Gerard Oostendorp (1805-1858),F1N1,"Oostendorp, Geert"
25,http://www.odis.be/lnk/PS_25,Gerard Oostendorp (1805-1858),F1N5,"Oostendorp, Gerard"
26,http://www.odis.be/lnk/PS_26,Jacques Coveliers (1816-1891),F1N1,"Coveliers, Jacob"
26,http://www.odis.be/lnk/PS_26,Jacques Coveliers (1816-1891),F1N2,"Coveliers, Jacques"
26,http://www.odis.be/lnk/PS_26,Jacques Coveliers (1816-1891),F1N5,"Coveliers, François"
27,http://www.odis.be/lnk/PS_27,Theodore Guyot (1810-1900),F1N1,"Guyot, Theodoor"
27,http://www.odis.be/lnk/PS_27,Theodore Guyot (1810-1900),F1N5,"Guyot, Theodore"
28,http://www.odis.be/lnk/PS_28,Constant De Gottal (1833-1880),F1N1,"De Gottal, Constant"
28,http://www.odis.be/lnk/PS_28,Constant De Gottal (1833-1880),F1N5,"De Gottal, Constantinus"
30,http://www.odis.be/lnk/PS_30,Eugène Brassine (1856-1927),F1N1,"Brassine, Eugeen"
30,http://www.odis.be/lnk/PS_30,Eugène Brassine (1856-1927),F1N5,"Brassine, Eugène"
31,http://www.odis.be/lnk/PS_31,Arthur Cornette (1852-1907),F1N5,"Cornette, Henri"
34,http://www.odis.be/lnk/PS_34,Pierre-Auguste Reussens-Joostens (1811-1879),F1N1,"Reussens, August"
34,http://www.odis.be/lnk/PS_34,Pierre-Auguste Reussens-Joostens (1811-1879),F1N2,"Reussens, Auguste"
34,http://www.odis.be/lnk/PS_34,Pierre-Auguste Reussens-Joostens (1811-1879),F1N3,"Reussens, Pierre-Auguste"
34,http://www.odis.be/lnk/PS_34,Pierre-Auguste Reussens-Joostens (1811-1879),F1N5,"Reussens, August"
34,http://www.odis.be/lnk/PS_34,Pierre-Auguste Reussens-Joostens (1811-1879),F4N1,"Reusens, August"
34,http://www.odis.be/lnk/PS_34,Pierre-Auguste Reussens-Joostens (1811-1879),F4N2,"Reusens, Auguste"
34,http://www.odis.be/lnk/PS_34,Pierre-Auguste Reussens-Joostens (1811-1879),F4N3,"Reusens, Pierre-Auguste"
34,http://www.odis.be/lnk/PS_34,Pierre-Auguste Reussens-Joostens (1811-1879),F4N5,"Reusens, August"
34,http://www.odis.be/lnk/PS_34,Pierre-Auguste Reussens-Joostens (1811-1879),F5N1,"Reussens-Joostens, August"
34,http://www.odis.be/lnk/PS_34,Pierre-Auguste Reussens-Joostens (1811-1879),F5N2,"Reussens-Joostens, Auguste"
34,http://www.odis.be/lnk/PS_34,Pierre-Auguste Reussens-Joostens (1811-1879),F5N3,"Reussens-Joostens, Pierre-Auguste"
34,http://www.odis.be/lnk/PS_34,Pierre-Auguste Reussens-Joostens (1811-1879),F5N5,"Reussens-Joostens, August"
35,http://www.odis.be/lnk/PS_35,Joannes Van Geetruyen-Van den Dries (1778-1844),F1N5,"Van Geetruyen, Joannes"
35,http://www.odis.be/lnk/PS_35,Joannes Van Geetruyen-Van den Dries (1778-1844),F4N5,"Van Geetruyen-Van den Dries, Joannes"
36,http://www.odis.be/lnk/PS_36,Jozef Mellaerts (1822-1864),F1N1,"Mellaerts, Joseph"
